0.00321	110.95	4.0323
0.00322	111.6	4.1299
0.00323	110.76	1.5713
0.00324	109.92	-3.3756
0.00325	110.34	-3.0966
0.00326	110.05	-2.4796
0.00327	109.96	-2.0863
0.00328	109.81	-1.7587
0.00329	109.75	-0.24162
0.0033	109.55	0.17743
0.00331	109.49	0.48875
0.00332	109.37	1.0134
0.00333	109.47	0.25884
0.00334	109.19	-0.94819
0.00335	109.06	-1.0341
0.00336	109	-0.99072
0.00337	108.88	-0.83278
0.00338	108.86	-0.24925
0.00339	108.75	0.69085
0.0034	108.6	1.1439
0.00341	108.43	1.4527
0.00342	108.3	1.8112
0.00343	108.12	1.6918
0.00344	108.17	1.1587
0.00345	107.95	1.2939
0.00346	107.72	1.3266
0.00347	107.73	1.5006
0.00348	107.65	2.1946
0.00349	107.48	2.9709
0.0035	107.44	3.6549
0.00351	107.36	3.7921
0.00352	107.15	4.0765
0.00353	107	3.9872
0.00354	106.87	3.5972
0.00355	106.67	3.51
0.00356	106.52	3.5186
0.00357	106.38	3.5427
0.00358	106.26	3.5889
0.00359	106.11	3.9105
0.0036	105.92	3.9692
0.00361	105.84	3.9889
0.00362	105.69	3.9776
0.00363	105.57	3.9358
0.00364	105.47	3.7511
0.00365	105.39	3.8167
0.00366	105.28	3.7474
0.00367	105.13	3.7314
0.00368	105.04	3.7902
0.00369	104.96	3.993
0.0037	104.85	3.9553
0.00371	104.77	3.9228
0.00372	104.69	3.8814
0.00373	104.59	3.8488
0.00374	104.5	3.8089
0.00375	104.37	3.8177
0.00376	104.31	3.8399
0.00377	104.16	3.8103
0.00378	104.09	3.6831
0.00379	104.03	3.6283
0.0038	103.98	3.615
0.00381	103.87	3.6357
0.00382	103.77	3.6609
0.00383	103.68	3.6698
0.00384	103.6	3.6905
0.00385	103.48	3.7985
0.00386	103.38	3.8621
0.00387	103.26	3.9953
0.00388	103.14	4.124
0.00389	103.03	4.1225
0.0039	102.94	4.1018
0.00391	102.83	4.087
0.00392	102.8	4.0352
0.00393	102.67	3.9672
0.00394	102.57	3.9953
0.00395	102.53	4.0545
0.00396	102.44	4.0929
0.00397	102.31	4.0826
0.00398	102.16	3.9287
0.00399	102.04	3.9183
0.004	101.86	3.9405
0.00401	101.74	3.942
0.00402	101.63	3.9524
0.00403	101.51	3.9687
0.00404	101.36	3.9583
0.00405	101.2	3.9154
0.00406	101.07	3.8976
0.00407	100.93	3.9761
